Map ID,Sub-borough Area,Borough
101,Mott Haven/Hunts Point,Bronx
102,Morrisania/Belmont,Bronx
103,Highbridge/South Concourse,Bronx
104,University Heights/Fordham,Bronx
105,Kingsbridge Heights/Mosholu,Bronx
106,Riverdale/Kingsbridge,Bronx
107,Soundview/Parkchester,Bronx
108,Throgs Neck/Co-op City,Bronx
109,Pelham Parkway,Bronx
110,Williamsbridge/Baychester,Bronx
201,Williamsburg/Greenpoint,Brooklyn
202,Brooklyn Heights/Fort Greene,Brooklyn
203,Bedford Stuyvesant,Brooklyn
204,Bushwick,Brooklyn
205,East New York/Starrett City,Brooklyn
206,Park Slope/Carroll Gardens,Brooklyn
207,Sunset Park,Brooklyn
208,North Crown Heights/Prospect Heights,Brooklyn
209,South Crown Heights,Brooklyn
210,Bay Ridge,Brooklyn
211,Bensonhurst,Brooklyn
212,Borough Park,Brooklyn
213,Coney Island,Brooklyn
214,Flatbush,Brooklyn
215,Sheepshead Bay/Gravesend,Brooklyn
216,Brownsville/Ocean Hill,Brooklyn
217,East Flatbush,Brooklyn
218,Flatlands/Canarsie,Brooklyn
301,Greenwich Village/Financial District,Manhattan
302,Lower East Side/Chinatown,Manhattan
303,Chelsea/Clinton/Midtown,Manhattan
304,Stuyvesant Town/Turtle-Bay,Manhattan
305,Upper West Side,Manhattan
306,Upper East Side,Manhattan
307,Morningside Heights/Hamilton Heights,Manhattan
308,Central Harlem,Manhattan
309,East Harlem,Manhattan
310,Washington Heights/Inwood,Manhattan
401,Astoria,Queens
402,Sunnyside/Woodside,Queens
403,Jackson Heights,Queens
404,Elmhurst/Corona,Queens
405,Middle Village/Ridgewood,Queens
406,Rego Park/Forest Hills,Queens
407,Flushing/Whitestone,Queens
408,Hillcrest/Fresh Meadows,Queens
409,Ozone Park/Woodhaven,Queens
410,South Ozone Park/Howard Beach,Queens
411,Bayside/Little Neck,Queens
412,Jamaica,Queens
413,Queens Village,Queens
414,Rockaways,Queens
501,North Shore,Staten Island
502,Mid-Island,Staten Island
503,South Shore,Staten Island
